Date,Aircraft type,Registration,Operator,Fatalities,Location,Damage,Manufacturer,Model,Year
2019-05-05,sukhoi superjet 100-95b,RA-89098,aeroflot russian international airlines,41,Moskva,write-off,sukhoi superjet,100-95b,2019
2019-05-07,antonov an-2r,YV2354,private,0,Uriman,write-off,antonov,an-2r,2019
2019-05-07,de havilland canada dhc-6 twin otter 300,C-GNDO,air inuit,0,Kuujjuarapik,substantial,de havilland canada,dhc-6 twin otter 300,2019
2019-05-08,de havilland canada dhc-8-402q dash 8,S2-AGQ,biman bangladesh airlines,0,Yangon,write-off,de havilland canada,dhc-8-402q dash 8,2019
2019-05-10,de havilland canada dhc-8-311 dash 8,C-FJXZ,jazz aviation,0,Toronto,substantial,de havilland canada,dhc-8-311 dash 8,2019
2019-05-11,cessna 208b supervan 900,C-FCPM,parachutisme nouvel air,0,Saint,substantial,cessna,208b supervan 900,2019
2019-05-12,embraer erj-190lr,XY-AGQ,myanmar national airlines,0,Mandalay,minor,embraer,erj-190lr,2019
2019-05-13,boeing 737-9b5,HL7726,korean air,0,Incheon,none,boeing,737-9b5,2019
2019-05-13,de havilland canada dhc-3t vazar turbine otter,N959PA,taquan air,6,Ketchikan,substantial,de havilland canada,dhc-3t vazar turbine otter,2019
2019-05-18,gulfstream american g-1159 gulfstream ii sp,,private,0,Chico de Chamorro,write-off,gulfstream,g-1159 gulfstream ii sp,2019
2019-05-22,cessna s550 citation s/ii,N311G,private,2,Indianapolis,write-off,cessna,s550 citation s/ii,2019
2019-05-22,antonov an-2r,RA-68161,private,0,Zhuravskoye,write-off,antonov,an-2r,2019
2019-05-24,cessna 560 citation encore,N832R,jet sales,1,Fort Lauderdale,write-off,cessna,560 citation encore,2019
2019-05-25,boeing 737-8h4 (wl),N8697C,southwest airlines,0,Waycross,none,boeing,737-8h4 (wl),2019
2019-05-25,airbus a320-214 (wl),PK-LZJ,batik air,0,Makassar,none,airbus,a320-214 (wl),2019
2019-05-28,airbus a320-232,N507JT,jetblue airways,0,Fort Lauderdale,none,airbus,a320-232,2019
2019-05-29,antonov an-124-100,5A-DKN,libyan air cargo,0,Tripoli,write-off,antonov,an-124-100,2019
2019-06-03,antonov an-32,K2752,indian air force,13,Lipo,write-off,antonov,an-32,2019
2019-06-07,antonov an-2t,UR-KAU,tso ukrayiny,0,Svyatoshyns'kyi District,substantial,antonov,an-2t,2019
2019-06-09,boeing 737-924er (wl),N75436,united airlines,0,Denver,substantial,boeing,737-924er (wl),2019
2019-06-09,antonov an-2r,RA-81519,feniks,0,Kyren,substantial,antonov,an-2r,2019
2019-06-11,casa c-212 aviocar 200,N603AR,ep aviation,0,Kiunga,substantial,casa,c-212 aviocar 200,2019
2019-06-13,beechcraft b200 super king air,,unknown,0,Río Chixoy,write-off,beechcraft,b200 super king air,2019
2019-06-15,atr 42-320,PR-MPN,map linhas aéreas,0,Manaus,substantial,atr,42-320,2019
2019-06-15,boeing 757-224 (wl),N26123,united airlines,0,Newark,substantial,boeing,757-224 (wl),2019
2019-06-17,boeing 737-8h4 (wl),N8608N,southwest airlines,0,Pittsburgh,substantial,boeing,737-8h4 (wl),2019
2019-06-17,cessna 680 citation sovereign,LV-CIQ,banco macro,0,Joaquín V. González,substantial,cessna,680 citation sovereign,2019
2019-06-18,airbus a330-243,B-LHA,hong kong airlines,0,Nansha District,none,airbus,a330-243,2019
2019-06-20,antonov an-2r,UP-A0116,navigator,1,Rodina village,write-off,antonov,an-2r,2019
2019-06-21,basler bt-67 turbo 67 (dc-3t),C-FKGL,north star air,0,Fort Hope,substantial,basler,bt-67 turbo 67 (dc-3t),2019
2019-06-23,antonov an-2r,UR-43983,phoenix air,0,Mlyny,write-off,antonov,an-2r,2019
2019-06-24,hawker siddeley hs-125-400,,unknown,0,Tigre,write-off,raytheon hawker,hs-125-400,2019
2019-06-26,rockwell sabreliner 65,N65HH,yankee dawdle,0,Sacramento,minor,rockwell sabreliner,65,2019
2019-06-27,cessna 560 citation v,N318RW,mueller aero,0,Janesville,minor,cessna,560 citation v,2019
2019-06-27,british aerospace 3212 jetstream 31,YV2536,transmandu,0,Canaima,write-off,british aerospace,3212 jetstream 31,2019
2019-06-27,antonov an-24rv,RA-47366,angara airlines,2,Nizhneangarsk,write-off,antonov,an-24rv,2019
2019-06-28,saab 340a,C6-VIP,western air,0,Nassau,substantial,saab,340a,2019
2019-06-29,cessna 208b supervan 900,N80JF,isr aviation,0,Plant,substantial,cessna,208b supervan 900,2019
2019-06-30,dassault falcon 900b,N908CA,warren transportation,0,Dallas,write-off,dassault falcon,900b,2019
2019-06-30,antonov an-2t,RF-00105,dosaaf gvardeysky atsk,0,Gvardeysky,substantial,antonov,an-2t,2019
2019-06-30,beechcraft b300 king air 350i,N534FF,ee operations,10,Dallas,write-off,beechcraft,b300 king air 350i,2019
2019-07-01,boeing 737-85r,VT-SYK,spicejet,0,Mumbai,substantial,boeing,737-85r,2019
2019-07-08,canadair cl-215-6b11 (cl-415),C-FAWQ,gouvernement du québec,0,Roberval,substantial,canadair,cl-215-6b11 (cl-415),2019
2019-07-08,cessna 208b grand caravan,N9448B,grant aviation,0,Bethel,write-off,cessna,208b grand caravan,2019
2019-07-08,airbus a320-214,5A-ONA,afriqiyah airways,0,Tripoli,minor,airbus,a320-214,2019
2019-07-09,antonov an-2,,unknown,0,Raduga,substantial,antonov,an-2,2019
2019-07-09,boeing 737-8k2 (wl),PH-BXH,klm royal dutch airlines,0,Amsterdam,minor,boeing,737-8k2 (wl),2019
